WD23CD,WD23NM,WD23NMW,UK_IMD_E_score,original_decile,E_expanded_decile,UK_IMD_E_rank,UK_IMD_E_pop_decile,UK_IMD_E_pop_quintile,total_Population
E05012798,Southgate, ,6.508,7,7,26569.5,7,4,4005.0
E05012799,Stanton, ,8.604,5,5,20663.5,5,3,2904.0
E05012800,The Fornhams & Great Barton, ,4.945,7,7,27881.0,7,4,4164.0
E05012801,The Rows, ,16.922,3,3,12467.0,3,2,7592.0
E05012802,Tollgate, ,10.231,2,2,8847.0,3,2,6296.0
E05012803,Westgate, ,6.508,5,5,17899.5,5,3,5213.0
E05012804,Whepstead & Wickhambrook, ,15.023,6,6,23591.0,6,3,2530.0
E05012805,Withersfield, ,16.003,6,6,23487.5,6,3,2183.0
E05012841,Adel & Wharfedale, ,3.576,1,1,4432.0,2,1,21774.0
E05012842,Alwoodley, ,3.445,1,1,3699.0,1,1,23957.0
E05012851,Ditchingham & Earsham, ,13.832,4,4,15596.0,4,2,6473.0
E05012852,Harleston, ,8.358,4,4,15602.0,4,2,6233.0
E05012854,Sonning Common, ,2.334,9,9,34315.5,9,5,7911.0
E05012855,Alkham & Capel-le-Ferne, ,14.644,5,5,19425.0,5,3,3246.0
E05012856,"Aylesham, Eythorne & Shepherdswell", ,11.031,2,2,6296.0,2,1,12076.0
E05012857,Buckland, ,22.338,1,1,3438.5,1,1,7473.0
E05012858,Dover Downs & River, ,3.769,6,6,25269.5,7,4,6783.0
E05012859,Eastry Rural, ,13.35,3,3,11665.0,3,2,6428.0
E05012860,"Guston, Kingsdown & St Margaret's-at-Cliffe", ,9.18,4,4,16277.0,4,2,7901.0
E05012861,Little Stour & Ashstone, ,9.948,4,4,15453.0,4,2,7382.0
E05012862,Maxton & Elms Vale, ,7.285,5,5,19697.5,5,3,3967.0
E05012863,Middle Deal, ,8.79,2,2,8077.0,2,1,7724.0
E05012864,Mill Hill, ,11.302,4,4,14921.5,4,2,7841.0
E05012865,North Deal, ,12.059,3,3,12296.0,3,2,7048.0
E05012866,St Radigunds, ,30.29,1,1,1496.0,1,1,7005.0
E05012867,Sandwich, ,7.065,5,5,17828.5,5,3,6204.0
E05012868,Tower Hamlets, ,33.219,2,2,6517.5,2,1,4593.0
E05012869,Town & Castle, ,17.533,1,1,2974.0,1,1,8416.0
E05012870,Walmer, ,8.416,6,6,25569.5,7,4,6635.0
E05012871,Whitfield, ,8.558,1,1,3573.5,1,1,6751.0
E05012872,Banstead Village, ,5.314,7,7,27325.5,7,4,10096.0
E05012873,"Chipstead, Kingswood & Woodmansterne", ,6.39,5,5,21121.5,6,3,9762.0
E05012874,Earlswood & Whitebushes, ,4.243,5,5,19106.0,5,3,10449.0
E05012875,"Hooley, Merstham & Netherne", ,7.414,2,2,6530.5,2,1,11544.0
E05012876,Horley Central & South, ,5.706,3,3,10980.5,3,2,10308.0
E05012877,Horley East & Salfords, ,5.706,6,6,22879.0,6,3,10212.0
E05012878,Horley West & Sidlow, ,4.024,4,4,14046.0,4,2,11395.0
E05012879,"Lower Kingswood, Tadworth & Walton", ,3.677,3,3,9592.5,3,2,9911.0
E05012880,Meadvale & St John's, ,2.591,6,6,25672.0,7,4,9002.0
E05012881,Nork, ,2.868,9,9,35562.0,9,5,9429.0
E05012882,Redhill East, ,5.996,6,6,23449.0,6,3,9432.0
E05012883,Redhill West & Wray Common, ,4.231,3,3,13045.0,4,2,11003.0
E05012884,Reigate, ,4.376,7,7,28568.0,7,4,11000.0
E05012885,South Park & Woodhatch, ,6.38,4,4,13505.0,4,2,9324.0
