WD23CD,WD23NM,WD23NMW,UK_IMD_E_score,original_decile,E_expanded_decile,UK_IMD_E_rank,UK_IMD_E_pop_decile,UK_IMD_E_pop_quintile,total_Population
E05000932,Ainsdale, ,4.417,2,2,4888.0,2,1,12676.0
E05000933,Birkdale, ,6.115,4,4,14967.0,4,2,12700.0
E05000934,Blundellsands, ,5.083,5,5,20242.5,5,3,11464.0
E05000935,Cambridge, ,12.53,1,1,2703.0,1,1,12466.0
E05000936,Church, ,15.531,1,1,734.0,1,1,12198.0
E05000937,Derby, ,29.871,1,1,290.0,1,1,13244.0
E05000938,Duke's, ,7.398,1,1,1221.0,1,1,14447.0
E05000939,Ford, ,19.704,1,1,1111.0,1,1,12609.0
E05000940,Harington, ,4.112,7,7,26011.5,7,4,11475.0
E05000941,Kew, ,9.503,3,3,9545.0,3,2,14337.0
E05000942,Linacre, ,58.097,1,1,167.0,1,1,13734.0
E05000943,Litherland, ,18.99,1,1,619.0,1,1,12420.0
E05000944,Manor, ,5.959,2,2,4602.0,2,1,12731.0
E05000945,Meols, ,6.265,4,4,17149.5,5,3,12092.0
E05000946,Molyneux, ,9.073,4,4,13153.5,4,2,12550.0
E05000947,Netherton and Orrell, ,21.29,1,1,1071.0,1,1,12968.0
E05000948,Norwood, ,12.663,1,1,3830.0,1,1,14780.0
E05000949,Park, ,7.392,2,2,8468.5,3,2,11789.0
E05000950,Ravenmeols, ,4.461,6,6,21998.0,6,3,12286.0
E05000951,St Oswald, ,11.681,1,1,1370.0,1,1,11196.0
E05000952,Sudell, ,8.154,4,4,17102.0,5,3,13525.0
E05000953,Victoria, ,5.959,2,2,6195.0,2,1,13340.0
E05000954,Bebington, ,7.59,3,3,9026.0,3,2,15304.0
E05000955,Bidston and St James, ,19.606,1,1,93.0,1,1,16050.0
E05000956,Birkenhead and Tranmere, ,28.04,1,1,110.0,1,1,16586.0
E05000957,Bromborough, ,10.788,1,1,1135.0,1,1,16556.0
E05000958,Clatterbridge, ,4.772,3,3,11237.0,3,2,13854.0
E05000959,Claughton, ,12.846,1,1,110.0,1,1,14729.0
E05000960,Eastham, ,6.971,2,2,5905.0,2,1,14377.0
E05000961,"Greasby, Frankby and Irby", ,5.922,3,3,11055.0,3,2,14206.0
E05000962,Heswall, ,2.97,6,6,24074.0,6,3,13325.0
E05000963,Hoylake and Meols, ,4.642,4,4,13772.0,4,2,13037.0
E05000964,Leasowe and Moreton East, ,10.804,1,1,693.0,1,1,15082.0
E05000965,Liscard, ,18.308,1,1,414.0,1,1,15581.0
E05000966,Moreton West and Saughall Massie, ,12.528,1,1,2527.0,1,1,13904.0
E05000967,New Brighton, ,14.791,1,1,2991.0,1,1,14502.0
E05000968,Oxton, ,12.489,1,1,219.0,1,1,13620.0
E05000969,Pensby and Thingwall, ,3.847,5,5,17461.0,5,3,12890.0
E05000970,Prenton, ,2.982,1,1,913.0,1,1,14604.0
E05000971,Rock Ferry, ,7.59,1,1,282.0,1,1,15388.0
E05000972,Seacombe, ,21.711,1,1,203.0,1,1,15203.0
E05000973,Upton, ,9.96,1,1,724.0,1,1,16659.0
E05000974,Wallasey, ,9.32,4,4,15169.0,4,2,14509.0
E05000975,West Kirby and Thurstaston, ,4.956,2,2,6477.5,2,1,12487.0
E05000976,Central, ,13.541,1,1,776.0,1,1,12051.0
E05000977,Cudworth, ,18.406,1,1,1695.0,1,1,11625.0
E05000978,Darfield, ,12.713,1,1,2764.0,1,1,10962.0
E05000979,Darton East, ,9.384,3,3,9726.0,3,2,11441.0
E05000980,Darton West, ,6.545,4,4,14301.0,4,2,11104.0
E05000981,Dearne North, ,27.43,1,1,984.0,1,1,12164.0
E05000982,Dearne South, ,17.841,1,1,1226.0,1,1,12657.0
E05000983,Dodworth, ,7.702,2,2,7584.0,2,1,10573.0
E05000984,Hoyland Milton, ,13.273,2,2,4932.0,2,1,12023.0
E05000985,Kingstone, ,20.793,1,1,776.0,1,1,11428.0
E05000986,Monk Bretton, ,15.614,1,1,1919.0,1,1,12051.0
E05000987,North East, ,21.108,1,1,3957.0,1,1,13788.0
E05000988,Old Town, ,7.702,1,1,3000.0,1,1,10554.0
E05000989,Penistone East, ,6.24,3,3,11912.0,3,2,11689.0
E05000990,Penistone West, ,3.991,3,3,12815.0,4,2,13367.0
E05000991,Rockingham, ,13.273,2,2,6529.0,2,1,11084.0
E05000992,Royston, ,13.475,1,1,3864.0,1,1,11432.0
E05000993,St Helens, ,30.15,1,1,922.0,1,1,11236.0
E05000994,Stairfoot, ,14.442,1,1,1837.5,1,1,12908.0
E05000995,Wombwell, ,12.713,1,1,2336.0,1,1,12621.0
E05000996,Worsbrough, ,21.949,1,1,928.0,1,1,9724.0
E05001067,Birtley, ,15.016,2,2,4781.0,2,1,8365.0
E05001068,Blaydon, ,15.474,1,1,3712.0,1,1,9974.0
E05001069,Bridges, ,24.266,1,1,659.0,1,1,9467.0
E05001071,Chowdene, ,7.59,1,1,3581.0,1,1,8684.0
E05001072,Crawcrook and Greenside, ,7.728,3,3,9976.5,3,2,9179.0
E05001073,Deckham, ,12.544,1,1,1099.0,1,1,9467.0
E05001074,Dunston and Teams, ,25.058,1,1,1167.0,1,1,8597.0
E05001075,Dunston Hill and Whickham East, ,4.891,3,3,10557.0,3,2,8778.0
E05001076,Felling, ,29.56,1,1,659.0,1,1,8927.0
E05001077,High Fell, ,10.494,1,1,710.0,1,1,9313.0
E05001078,Lamesley, ,17.943,1,1,3038.5,1,1,10141.0
E05001079,Lobley Hill and Bensham, ,7.939,1,1,1167.0,1,1,10255.0
E05001080,Low Fell, ,5.216,4,4,13611.0,4,2,8404.0
E05001081,Pelaw and Heworth, ,10.046,2,2,8326.0,2,1,8599.0
E05001082,"Ryton, Crookhill and Stella", ,8.365,3,3,12396.0,3,2,8824.0
E05001083,Saltwell, ,25.862,2,2,5038.0,2,1,10150.0
E05001084,Wardley and Leam Lane, ,10.046,2,2,5822.5,2,1,7977.0
E05001085,Whickham North, ,4.891,2,2,8756.0,3,2,7651.0
E05001086,Whickham South and Sunniside, ,4.689,4,4,15457.5,4,2,8157.0
E05001087,Windy Nook and Whitehills, ,11.319,1,1,710.0,1,1,9419.0
E05001088,Winlaton and High Spen, ,10.296,2,2,4913.0,2,1,8532.0
E05001115,Battle Hill, ,5.898,3,3,10178.0,3,2,10710.0
E05001116,Benton, ,6.117,2,2,6243.5,2,1,10162.0
E05001117,Camperdown, ,4.864,2,2,6826.0,2,1,10616.0
E05001118,Chirton, ,26.277,1,1,510.0,1,1,11820.0
E05001119,Collingwood, ,4.926,2,2,6753.0,2,1,11393.0
E05001120,Cullercoats, ,3.083,4,4,15180.0,4,2,9452.0
E05001121,Howdon, ,27.524,2,2,4609.0,2,1,11117.0
E05001122,Killingworth, ,4.864,3,3,11229.0,3,2,11964.0
E05001123,Longbenton, ,8.071,2,2,5158.0,2,1,11726.0
E05001124,Monkseaton North, ,2.223,7,7,26157.0,7,4,9126.0
E05001125,Monkseaton South, ,3.642,4,4,15361.0,4,2,9643.0
E05001126,Northumberland, ,10.009,3,3,9269.0,3,2,9756.0
E05001127,Preston, ,6.77,1,1,3378.0,1,1,8010.0
E05001128,Riverside, ,12.687,1,1,829.0,1,1,12011.0
E05001129,St Mary's, ,2.223,9,9,38164.0,10,5,8804.0
E05001130,Tynemouth, ,1.529,1,1,3378.0,1,1,10356.0
E05001131,Valley, ,6.802,3,3,8883.5,3,2,13980.0
E05001132,Wallsend, ,15.436,1,1,2925.0,1,1,10302.0
E05001133,Weetslade, ,4.479,4,4,14114.5,4,2,10157.0
E05001134,Whitley Bay, ,3.992,2,2,5445.0,2,1,9382.0
E05001135,Beacon and Bents, ,24.185,1,1,549.0,1,1,9013.0
E05001136,Bede, ,27.408,1,1,1618.0,1,1,7654.0
E05001137,Biddick and All Saints, ,27.408,1,1,1467.5,1,1,8961.0
E05001138,Boldon Colliery, ,6.372,1,1,2616.0,1,1,9231.0
E05001139,Cleadon and East Boldon, ,3.475,9,9,36386.0,9,5,8527.0
E05001140,Cleadon Park, ,18.305,1,1,2422.0,1,1,7684.0
E05001141,Fellgate and Hedworth, ,9.967,2,2,5284.0,2,1,7246.0
E05001142,Harton, ,7.147,1,1,2422.0,1,1,8094.0
E05001143,Hebburn North, ,11.432,1,1,3784.0,1,1,9526.0
E05001144,Hebburn South, ,11.432,2,2,5815.0,2,1,9689.0
E05001145,Horsley Hill, ,8.727,1,1,2399.0,1,1,8484.0
E05001146,Monkton, ,10.173,1,1,3009.0,1,1,8482.0
E05001147,Primrose, ,26.901,1,1,1618.0,1,1,7706.0
E05001148,Simonside and Rekendyke, ,29.814,1,1,549.0,1,1,8810.0
E05001149,Westoe, ,6.031,1,1,3413.0,1,1,7885.0
E05001150,West Park, ,7.147,1,1,2422.0,1,1,6525.0
E05001151,Whitburn and Marsden, ,7.115,3,3,10172.5,3,2,7145.0
E05001152,Whiteleas, ,11.892,1,1,3450.0,1,1,8005.0
E05001153,Barnes, ,8.103,1,1,3476.0,1,1,10781.0
E05001154,Castle, ,16.458,1,1,4312.0,2,1,10857.0
E05001155,Copt Hill, ,10.078,1,1,2726.0,1,1,12161.0
E05001156,Doxford, ,7.394,3,3,9137.5,3,2,10465.0
E05001157,Fulwell, ,3.796,4,4,13716.0,4,2,10789.0
E05001158,Hendon, ,17.935,1,1,347.0,1,1,12095.0
E05001159,Hetton, ,15.685,1,1,1854.0,1,1,12317.0
E05001160,Houghton, ,10.237,2,2,5775.5,2,1,13760.0
E05001161,Millfield, ,13.431,1,1,4561.0,2,1,11123.0
E05001162,Pallion, ,11.884,1,1,1597.0,1,1,11622.0
E05001163,Redhill, ,27.632,1,1,616.0,1,1,11204.0
E05001164,Ryhope, ,20.229,2,2,7043.5,2,1,11812.0
E05001165,St Anne's, ,21.452,1,1,1597.0,1,1,10620.0
E05001166,St Chad's, ,7.394,1,1,2083.0,1,1,9308.0
E05001167,St Michael's, ,6.242,1,1,471.0,1,1,10408.0
E05001168,St Peter's, ,10.556,2,2,6406.5,2,1,9972.0
E05001169,Sandhill, ,11.906,1,1,1621.0,1,1,10425.0
E05001170,Shiney Row, ,9.355,1,1,2133.0,1,1,12268.0
E05001171,Silksworth, ,6.242,1,1,3262.0,1,1,10175.0
E05001172,Southwick, ,6.601,1,1,714.0,1,1,10993.0
E05001173,Washington Central, ,11.033,1,1,3497.0,1,1,10768.0
E05001174,Washington East, ,8.289,1,1,2720.0,1,1,11675.0
E05001175,Washington North, ,11.534,1,1,2867.0,1,1,10490.0
E05001176,Washington South, ,8.289,1,1,3674.0,1,1,9786.0
E05001177,Washington West, ,11.534,2,2,7741.5,2,1,11480.0
E05001218,Bablake, ,8.808,3,3,11308.0,3,2,17666.0
E05001219,Binley and Willenhall, ,6.016,1,1,733.0,1,1,18143.0
E05001220,Cheylesmore, ,4.379,4,4,13911.0,4,2,15847.0
E05001221,Earlsdon, ,2.717,3,3,12533.0,4,2,15377.0
E05001222,Foleshill, ,32.957,1,1,2177.0,1,1,23504.0
E05001223,Henley, ,10.864,1,1,239.0,1,1,21834.0
E05001224,Holbrook, ,17.403,2,2,5939.0,2,1,19703.0
E05001225,Longford, ,22.628,1,1,687.0,1,1,20543.0
E05001226,Lower Stoke, ,13.924,1,1,3128.0,1,1,24509.0
E05001227,Radford, ,22.287,1,1,3006.0,1,1,20900.0
E05001228,St Michael's, ,16.26,1,1,432.0,1,1,32513.0
E05001229,Sherbourne, ,10.686,1,1,2799.0,1,1,17220.0
E05001230,Upper Stoke, ,17.24,2,2,4686.0,2,1,20114.0
E05001231,Wainbody, ,4.568,6,6,23255.0,6,3,15583.0
E05001232,Westwood, ,8.203,1,1,2805.0,1,1,21606.0
E05001233,Whoberley, ,5.742,2,2,7704.5,2,1,15645.0
E05001234,Woodlands, ,4.364,1,1,1702.5,1,1,17872.0
E05001235,Wyken, ,6.016,1,1,2456.0,1,1,17021.0
E05001236,Amblecote, ,5.036,2,2,5226.0,2,1,12712.0
E05001237,Belle Vale, ,6.194,1,1,2335.0,1,1,14209.0
E05001238,Brierley Hill, ,10.493,1,1,4041.0,1,1,15143.0
E05001239,Brockmoor and Pensnett, ,8.058,1,1,2544.0,1,1,15046.0
E05001240,Castle and Priory, ,5.452,1,1,1128.0,1,1,17036.0
E05001241,Coseley East, ,12.239,1,1,2363.0,1,1,13689.0
E05001242,Cradley and Wollescote, ,14.148,1,1,2149.0,1,1,13741.0
E05001243,Gornal, ,6.24,2,2,5161.0,2,1,13260.0
E05001244,Halesowen North, ,8.83,2,2,8690.0,3,2,13533.0
E05001245,Halesowen South, ,3.951,1,1,2335.0,1,1,12249.0
E05001246,Hayley Green and Cradley South, ,4.09,2,2,5541.0,2,1,12047.0
E05001247,Kingswinford North and Wall Heath, ,4.413,5,5,20165.5,5,3,11757.0
E05001248,Kingswinford South, ,4.711,4,4,13511.0,4,2,12692.0
E05001249,Lye and Stourbridge North, ,5.745,1,1,2149.0,1,1,12438.0
E05001250,"Netherton, Woodside and St Andrews", ,21.27,1,1,2296.0,1,1,15338.0
E05001251,Norton, ,4.022,4,4,14413.5,4,2,11669.0
E05001252,Pedmore and Stourbridge East, ,3.36,2,2,7647.0,2,1,12275.0
E05001253,Quarry Bank and Dudley Wood, ,16.849,1,1,3995.0,1,1,13716.0
E05001254,St James's, ,5.217,1,1,1028.0,1,1,14338.0
E05001255,St Thomas's, ,21.497,1,1,1028.0,1,1,16703.0
E05001256,Sedgley, ,5.099,3,3,9055.0,3,2,11783.0
E05001257,Upper Gornal and Woodsetton, ,10.033,1,1,3896.0,1,1,13599.0
E05001258,Wollaston and Stourbridge Town, ,3.82,2,2,7472.5,2,1,13399.0
E05001259,Wordsley, ,5.987,3,3,10361.0,3,2,12597.0
E05001260,Abbey, ,16.935,3,3,11904.5,3,2,12162.0
E05001261,Blackheath, ,9.814,2,2,4829.0,2,1,12094.0
E05001262,Bristnall, ,18.558,1,1,2861.0,1,1,12419.0
E05001263,Charlemont with Grove Vale, ,12.686,1,1,1720.0,1,1,12802.0
E05001264,Cradley Heath and Old Hill, ,9.814,1,1,2458.5,1,1,15194.0
E05001265,Friar Park, ,19.439,1,1,1528.0,1,1,12743.0
E05001266,Great Barr with Yew Tree, ,15.309,2,2,7172.0,2,1,13471.0
E05001267,Great Bridge, ,13.04,1,1,482.0,1,1,14534.0
E05001268,Greets Green and Lyng, ,34.02,1,1,1610.0,1,1,14896.0
E05001269,Hateley Heath, ,34.116,1,1,2796.0,1,1,15339.0
E05001270,Langley, ,22.905,1,1,2861.0,1,1,14291.0
E05001271,Newton, ,14.383,2,2,8189.0,2,1,12330.0
E05001272,Old Warley, ,14.574,2,2,6067.5,2,1,12734.0
E05001273,Oldbury, ,21.098,1,1,3700.0,1,1,15745.0
E05001274,Princes End, ,11.769,1,1,313.0,1,1,14141.0
E05001275,Rowley, ,15.093,1,1,3543.5,1,1,13821.0
E05001276,St Pauls, ,30.978,1,1,3700.0,1,1,16954.0
E05001277,Smethwick, ,28.989,1,1,1278.0,1,1,15472.0
E05001278,Soho and Victoria, ,28.989,1,1,1278.0,1,1,20022.0
E05001279,Tipton Green, ,16.708,1,1,1339.0,1,1,15635.0
E05001280,Tividale, ,14.994,2,2,4621.0,2,1,13111.0
E05001281,Wednesbury North, ,11.769,2,2,5124.5,2,1,13233.0
E05001282,Wednesbury South, ,26.33,1,1,3780.0,1,1,15268.0
E05001283,West Bromwich Central, ,20.972,1,1,645.0,1,1,15799.0
E05001284,Bickenhill, ,5.813,1,1,2630.0,1,1,13059.0
E05001285,Blythe, ,2.416,9,9,35176.0,9,5,16178.0
E05001286,Castle Bromwich, ,8.379,4,4,13387.5,4,2,11435.0
E05001287,Chelmsley Wood, ,31.277,1,1,1652.0,1,1,13192.0
E05001288,Dorridge and Hockley Heath, ,1.363,6,6,24899.0,6,3,11145.0
E05001289,Elmdon, ,7.971,3,3,10264.0,3,2,12593.0
E05001290,Kingshurst and Fordbridge, ,24.46,1,1,933.5,1,1,13311.0
E05001291,Knowle, ,1.363,5,5,17781.0,5,3,11056.0
E05001292,Lyndon, ,11.134,2,2,5678.5,2,1,13850.0
E05001293,Meriden, ,1.963,5,5,17781.0,5,3,12688.0
E05001294,Olton, ,2.609,2,2,6267.0,2,1,12420.0
E05001295,St Alphege, ,2.511,9,9,34179.0,9,5,13231.0
E05001296,Shirley East, ,2.748,2,2,6267.0,2,1,12096.0
E05001297,Shirley South, ,2.416,5,5,17490.0,5,3,12372.0
E05001298,Shirley West, ,8.482,3,3,12425.0,3,2,13182.0
E05001299,Silhill, ,3.839,5,5,19942.0,5,3,12964.0
E05001300,Smith's Wood, ,24.46,1,1,2329.0,1,1,12906.0
E05001301,Aldridge Central and South, ,3.96,2,2,7004.0,2,1,13674.0
E05001302,Aldridge North and Walsall Wood, ,6.243,3,3,11029.0,3,2,13128.0
E05001303,Bentley and Darlaston North, ,25.421,1,1,4427.0,2,1,14430.0
E05001304,Birchills Leamore, ,19.187,1,1,1266.0,1,1,16175.0
E05001305,Blakenall, ,42.157,1,1,622.0,1,1,16455.0
E05001306,Bloxwich East, ,19.125,1,1,1057.0,1,1,13225.0
E05001307,Bloxwich West, ,5.633,1,1,2373.0,1,1,13304.0
E05001308,Brownhills, ,9.755,1,1,3260.5,1,1,13433.0
E05001309,Darlaston South, ,31.386,1,1,1902.5,1,1,17662.0
E05001310,Paddock, ,7.028,3,3,10017.5,3,2,13408.0
E05001311,Palfrey, ,19.054,1,1,3256.0,1,1,16760.0
E05001312,Pelsall, ,8.714,2,2,7536.5,2,1,11442.0
E05001313,Pheasey Park Farm, ,7.278,6,6,22146.0,6,3,11521.0
E05001314,Pleck, ,27.508,1,1,2250.0,1,1,16516.0
E05001315,Rushall-Shelfield, ,7.502,2,2,8587.5,3,2,12349.0
E05001316,St Matthew's, ,12.496,1,1,1266.0,1,1,16983.0
E05001317,Short Heath, ,14.016,1,1,4307.0,2,1,11789.0
E05001318,Streetly, ,3.753,7,7,29865.5,8,4,13629.0
E05001319,Willenhall North, ,8.684,1,1,3859.0,1,1,12702.0
E05001320,Willenhall South, ,17.079,1,1,3939.0,1,1,17520.0
E05001341,Baildon, ,6.04,2,2,7829.0,2,1,16226.0
E05001342,Bingley, ,2.593,1,1,4455.5,2,1,18245.0
E05001343,Bingley Rural, ,5.11,3,3,12667.0,4,2,19030.0
E05001344,Bolton and Undercliffe, ,19.588,1,1,671.0,1,1,17864.0
E05001345,Bowling and Barkerend, ,36.838,1,1,209.0,1,1,23490.0
E05001346,Bradford Moor, ,36.802,1,1,761.0,1,1,21879.0
E05001347,City, ,31.905,1,1,209.0,1,1,23643.0
E05001348,Clayton and Fairweather Green, ,17.115,1,1,841.0,1,1,18322.0
E05001349,Craven, ,5.064,5,5,19962.0,5,3,17932.0
E05001350,Eccleshill, ,21.218,1,1,1252.0,1,1,20637.0
E05001351,Great Horton, ,18.18,1,1,321.0,1,1,19114.0
E05001352,Heaton, ,13.879,1,1,640.0,1,1,19945.0
E05001353,Idle and Thackley, ,6.058,1,1,2019.0,1,1,17624.0
E05001354,Ilkley, ,3.449,5,5,18908.5,5,3,15196.0
E05001355,Keighley Central, ,19.962,1,1,224.0,1,1,18739.0
E05001356,Keighley East, ,8.263,1,1,224.0,1,1,17216.0
E05001357,Keighley West, ,9.31,1,1,1188.0,1,1,17265.0
E05001358,Little Horton, ,33.695,1,1,209.0,1,1,21996.0
E05001359,Manningham, ,42.601,1,1,428.0,1,1,21182.0
E05001360,Queensbury, ,9.606,1,1,2666.0,1,1,17635.0
E05001361,Royds, ,19.892,1,1,628.0,1,1,18197.0
E05001362,Shipley, ,10.471,1,1,640.0,1,1,15706.0
E05001363,Thornton and Allerton, ,13.078,1,1,565.0,1,1,18560.0
E05001364,Toller, ,31.681,1,1,1750.0,1,1,20896.0
E05001365,Tong, ,17.402,1,1,215.0,1,1,21267.0
E05001366,Wharfedale, ,3.203,7,7,29282.0,7,4,12174.0
E05001367,Wibsey, ,22.217,1,1,1758.5,1,1,16087.0
E05001368,Windhill and Wrose, ,7.478,1,1,640.0,1,1,17083.0
E05001369,Worth Valley, ,9.31,3,3,12849.5,4,2,14262.0
E05001370,Wyke, ,17.77,1,1,2017.0,1,1,15232.0
E05001371,Brighouse, ,6.163,1,1,3932.0,1,1,10727.0
E05001372,Calder, ,13.513,3,3,12854.5,4,2,11598.0
E05001373,Elland, ,11.684,2,2,5191.5,2,1,12125.0
E05001374,Greetland and Stainland, ,6.395,2,2,7688.0,2,1,11301.0
E05001375,Hipperholme and Lightcliffe, ,5.205,2,2,7883.0,2,1,11712.0
E05001376,Illingworth and Mixenden, ,11.169,1,1,834.0,1,1,12917.0
E05001377,Luddendenfoot, ,13.766,3,3,12566.5,4,2,9875.0
E05001378,Northowram and Shelf, ,5.569,2,2,7417.0,2,1,11575.0
E05001379,Ovenden, ,17.709,1,1,1473.5,1,1,12626.0
E05001380,Park, ,31.251,1,1,409.5,1,1,16011.0
E05001381,Rastrick, ,2.512,2,2,6271.0,2,1,11112.0
E05001382,Ryburn, ,7.292,1,1,3629.0,1,1,11587.0
E05001383,Skircoat, ,10.062,1,1,1623.0,1,1,13672.0
E05001384,Sowerby Bridge, ,11.589,1,1,2055.0,1,1,12177.0
E05001385,Todmorden, ,16.054,2,2,5851.5,2,1,12241.0
E05001386,Town, ,18.393,1,1,1623.0,1,1,12462.0
E05001387,Warley, ,11.611,1,1,3271.5,1,1,13981.0
E05001389,Ashbrow, ,8.096,1,1,1381.5,1,1,20552.0
E05001390,Batley East, ,11.396,1,1,1692.0,1,1,18806.0
E05001391,Batley West, ,11.396,1,1,1692.0,1,1,20225.0
E05001392,Birstall and Birkenshaw, ,7.92,1,1,2458.5,1,1,17326.0
E05001393,Cleckheaton, ,8.753,2,2,6176.0,2,1,17439.0
E05001396,Dalton, ,8.611,1,1,1381.5,1,1,17434.0
E05001397,Denby Dale, ,5.555,4,4,16225.0,4,2,16724.0
E05001398,Dewsbury East, ,11.717,1,1,2085.0,1,1,20286.0
E05001399,Dewsbury South, ,10.255,1,1,3248.0,1,1,19317.0
E05001400,Dewsbury West, ,30.073,1,1,1064.0,1,1,21571.0
E05001401,Golcar, ,8.504,1,1,1982.5,1,1,18884.0
E05001402,Greenhead, ,8.761,1,1,2733.0,1,1,22439.0
E05001403,Heckmondwike, ,8.277,1,1,4316.0,2,1,18142.0
E05001405,Holme Valley South, ,5.905,4,4,17017.0,5,3,19653.0
E05001407,Lindley, ,8.645,2,2,7562.0,2,1,20756.0
E05001408,Liversedge and Gomersal, ,7.92,2,2,4974.5,2,1,19391.0
E05001409,Mirfield, ,3.9,2,2,5193.0,2,1,19878.0
E05001410,Newsome, ,18.51,1,1,3213.0,1,1,19496.0
E05001444,"Ackworth, North Elmsall and Upton", ,8.883,1,1,3884.0,1,1,17750.0
E05001445,Airedale and Ferry Fryston, ,9.466,1,1,571.0,1,1,16158.0
E05001446,Altofts and Whitwood, ,7.686,1,1,3579.0,1,1,19637.0
E05001447,Castleford Central and Glasshoughton, ,13.54,1,1,1942.0,1,1,16826.0
E05001448,"Crofton, Ryhill and Walton", ,6.765,1,1,3884.0,1,1,15841.0
E05001449,Featherstone, ,13.01,1,1,681.5,1,1,17882.0
E05001450,Hemsworth, ,18.819,1,1,430.0,1,1,16114.0
E05001451,Horbury and South Ossett, ,4.317,4,4,13209.0,4,2,15143.0
E05001452,Knottingley, ,23.516,1,1,1104.0,1,1,14445.0
E05001453,Normanton, ,6.147,1,1,3825.0,1,1,17594.0
E05001454,Ossett, ,10.23,3,3,9106.0,3,2,16341.0
E05001455,Pontefract North, ,6.612,1,1,1582.0,1,1,19662.0
E05001456,Pontefract South, ,4.448,1,1,2122.0,1,1,15360.0
E05001457,South Elmsall and South Kirkby, ,16.595,1,1,1331.0,1,1,19255.0
E05001458,Stanley and Outwood East, ,5.704,3,3,9722.5,3,2,17238.0
E05001459,Wakefield East, ,8.069,1,1,1530.0,1,1,17364.0
E05001460,Wakefield North, ,8.378,1,1,2451.0,1,1,17749.0
E05001461,Wakefield Rural, ,5.76,3,3,10485.0,3,2,18196.0
E05001462,Wakefield South, ,5.125,1,1,1857.0,1,1,14796.0
E05001463,Wakefield West, ,8.257,1,1,2331.0,1,1,16735.0
E05001464,Wrenthorpe and Outwood West, ,4.895,3,3,9587.5,3,2,17643.0
E05001687,Beverley Rural, ,2.628,6,6,24029.0,6,3,14624.0
E05001688,Bridlington Central and Old Town, ,14.678,1,1,1975.0,1,1,10976.0
E05001689,Bridlington North, ,10.796,3,3,10968.5,3,2,13232.0
E05001690,Bridlington South, ,11.415,1,1,152.0,1,1,14282.0
E05001691,Cottingham North, ,5.821,6,6,24423.0,6,3,8231.0
E05001692,Cottingham South, ,7.908,3,3,12014.0,3,2,9853.0
E05001693,Dale, ,1.877,4,4,14354.5,4,2,17473.0
E05001694,Driffield and Rural, ,4.113,4,4,13184.0,4,2,15932.0
E05001695,East Wolds and Coastal, ,7.859,2,2,8128.0,2,1,14713.0
E05001696,Goole North, ,6.11,3,3,12093.0,3,2,11083.0
E05001697,Goole South, ,17.197,1,1,3951.0,1,1,10948.0
E05001698,Hessle, ,5.469,5,5,18432.0,5,3,15688.0
E05001699,Howden, ,7.229,7,7,25847.0,7,4,5666.0
E05001700,Howdenshire, ,6.05,4,4,17222.5,5,3,15903.0
E05001701,Mid Holderness, ,10.396,4,4,15754.0,4,2,13805.0
E05001702,Minster and Woodmansey, ,2.225,2,2,6856.0,2,1,16877.0
E05001703,North Holderness, ,9.617,4,4,14776.5,4,2,10543.0
E05001705,St Mary's, ,2.024,3,3,9031.5,3,2,16044.0
E05001706,"Snaith, Airmyn, Rawcliffe and Marshland", ,7.614,4,4,15031.5,4,2,10174.0
E05001707,South East Holderness, ,16.317,1,1,1388.0,1,1,14698.0
E05001708,South Hunsley, ,2.313,10,10,40010.0,10,5,10957.0
E05001709,South West Holderness, ,10.83,3,3,9117.0,3,2,14197.0
E05001710,Tranby, ,3.503,5,5,17595.5,5,3,10395.0
E05001711,Willerby and Kirk Ella, ,2.57,6,6,24219.0,6,3,13609.0
E05001713,Croft Baker, ,20.083,2,2,4720.0,2,1,11226.0
E05001714,East Marsh, ,32.916,1,1,103.0,1,1,10774.0
E05001715,Freshney, ,8.543,1,1,876.0,1,1,9240.0
E05001716,Haverstoe, ,4.625,3,3,9156.5,3,2,9515.0
E05001717,Heneage, ,16.484,1,1,583.0,1,1,11425.0
E05001718,Humberston and New Waltham, ,3.835,5,5,20288.0,5,3,12329.0
E05001719,Immingham, ,13.861,1,1,1560.0,1,1,11800.0
E05001720,Park, ,11.285,1,1,2255.5,1,1,11826.0
E05001721,Scartho, ,6.501,3,3,10262.0,3,2,11448.0
E05001722,Sidney Sussex, ,18.605,1,1,516.0,1,1,11725.0
E05001723,South, ,21.756,1,1,193.0,1,1,12363.0
E05001724,Waltham, ,4.399,4,4,15830.5,4,2,6900.0
E05001725,West Marsh, ,43.484,1,1,610.0,1,1,7704.0
E05001726,Wolds, ,6.233,4,4,15128.0,4,2,7871.0
E05001727,Yarborough, ,13.707,1,1,4103.0,1,1,11608.0
E05002078,Budshead, ,7.017,1,1,2924.0,1,1,13284.0
E05002079,Compton, ,7.789,3,3,9842.0,3,2,12377.0
E05002080,Devonport, ,18.321,1,1,771.0,1,1,16535.0
E05002081,Drake, ,18.169,2,2,6954.0,2,1,11487.0
E05002082,Efford and Lipson, ,23.211,1,1,3489.0,1,1,14328.0
E05002083,Eggbuckland, ,8.844,3,3,12377.5,3,2,12997.0
E05002084,Ham, ,18.469,1,1,1564.0,1,1,14581.0
E05002085,Honicknowle, ,27.579,1,1,2776.0,1,1,14325.0
E05002086,Moor View, ,10.386,3,3,9775.0,3,2,13379.0
